,tanggal,harga_saham,volume_saham(B),harga_emas,nilai_tukar_rupiah_terhadap_dollar
1,Jan'19,965,2.52,"1,384.00","13,970"
2,Feb'19,"1,015",3.72,"1,375.30","14,060"
3,Mar'19,885,1.79,"1,350.40","14,235"
4,Apr'19,865,0.96,"1,340.40","14,245"
5,Mei'19,725,1.29,"1,357.50","14,270"
6,Jun'19,845,1.31,"1,452.90","14,125"
7,Jul'19,935,2.26,"1,473.30","14,012"
8,Ags'19,"1,070",3.57,"1,563.10","14,180"
9,Sep'19,975,2.23,"1,509.60","14,190"
10,Okt'19,890,1.96,"1,550.90","14,032"
11,Nov'19,750,1.16,"1,504.00","14,100"
12,Des'19,840,1.05,"1,559.50","13,880"
13,Jan'20,720,1.78,"1,618.00","13,650"
14,Feb'20,575,1.14,"1,589.70","14,340"
15,Mar'20,450,2.22,"1,599.60","16,300"
16,Apr'20,510,2.03,"1,707.70","14,825"
17,Mei'20,535,1.06,"1,771.70","14,575"
18,Jun'20,605,2.02,"1,830.50","14,180"
19,Jul'20,730,2.13,"2,004.60","14,530"
20,Ags'20,820,2.9,"1,991.40","14,560"
21,Sep'20,705,1.53,"1,907.80","14,840"
22,Okt'20,"1,055",8.5,"1,892.40","14,620"
23,Nov'20,"1,145",8,"1,784.80","14,090"
24,Des'20,"1,935",11.75,"1,899.60","14,040"
25,Jan'21,"2,220",21.18,"1,850.30","14,020"
26,Feb'21,"2,840",15.17,"1,728.80","14,240"
27,Mar'21,"2,250",6.89,"1,713.80","14,520"
28,Apr'21,"2,490",0.12,"1,773.20","14,445"
29,Mei'21,"2,660",0.13,"1,835.85","14,204"
